RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
62080,3,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,321785,325833,328776,333037,335852,338438,342178,345825,349772,354570,359309,363800,367668,371910,376135,381142,385500,389717,393149,396591,399736,403013,408566,415587,422697,427741,431383,434582,437405,441192,444967,449419,453281,456763,459297,461628,464347,467460,470152,472594,475025,473094,,,448295,452233,459056,461362,463801,464588,466389,468485,472521,478799,486634,493950,500586,506897,513490,519402,526111,533630,542799,553927,566293,573173,583500,592873,606542,615896,622824,631511,639107,647667,655869,660161,665617,666501,669100,675264,682439,681428,671535,665443,666033,672809,682025,686493,688998,683700,680796,679565,679681,686363,687029,688405,682053,675342,665856,660192,656564,656081,656326,655542,648870,642102,635958,620288,602467,582429,574605,568297,562341,557602,552273,547876,543467,537661,535788,535277,536494,536037,532381,530996,530038,533193,534921,537244,541330,544965,545749,542518,541015,540931,540621,537163,534898,534518,535752,536089,532921,528440,523351,519722,515879,509239,501665,496254,492851,493306,494855,496066,496267,496449,498758,501802,503527,506167,511562,519483,526931,532719,535532,537533,537239,537210,539931,541896,547163,553928,561867,570136,574937,578852,581343,583477,588242,591239,596957,601613,607305,612501,618213,624012,628010,634452,640239,646180,650146,653822,658266,661655,666116,671825,676860,683528,689601,695981,702700,710934,720393,728367,735650,741832,748533,753948,761152,763932,763744,762950,764490,769929,772721,777784,779857,783522,786549,790267,795024,800555,808009,814552,820673,824550,828090,831954,836760,839332,839323,839349,838878,835662,831502,831781,834919,836366,833290,830245,829542,832269,835384,838962,839796,839363,837427,835553,831030,826244,822354,822459,827741,835547,843959,848474,849873,850020,851394,852855,854554,854012,856240,858521,860709,861462,864811,867044,872621,876768,885052,890467,895634,899250
62093,4,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,284873,286779,288737,291230,292585,293783,294872,297220,299166,302448,305297,307694,308997,311518,315856,320569,324327,326793,330012,332545,333909,334193,335984,338840,342581,342153,341987,341266,343493,346278,349385,352691,355389,357916,360071,362269,364706,367397,369613,371515,373187,376607,379117,384246,388620,394459,398578,403162,407203,410413,413065,416138,419731,424655,430767,435983,440939,445876,452695,458234,463357,468904,474804,481614,488896,493263,499714,505101,511444,515804,518783,526817,532578,538614,541760,543626,547176,548017,551280,555574,561053,560620,551748,544396,539855,542565,549158,551170,554483,549259,547388,543316,541508,542932,543605,545693,547137,546538,543120,538536,533028,529676,526574,523342,517284,512495,508050,502738,497250,492138,488288,484843,480581,476232,469893,465761,464719,462712,462675,461327,461424,460620,459487,460157,460538,462493,463119,463469,464228,465729,465851,464215,464274,464044,464781,462742,460875,458205,457378,457150,457340,456704,455788,454701,453171,451047,448317,448288,449310,453625,454866,455226,453929,454546,456912,458771,459665,460024,461109,463455,466823,470715,475280,479305,482793,487051,492657,497905,503886,510791,517884,523126,525586,529141,533244,537073,540463,542479,546680,550132,552048,554490,556293,558842,558976,561658,564847,570111,573096,576061,578087,583432,589063,596505,601382,609381,616421,622987,628814,633042,640298,646262,653560,659148,663749,666357,670024,672820,677779,681616,685446,688447,689507,690943,691516,692234,693274,696872,700482,705544,709637,714343,717811,720150,721153,721112,721317,722199,721567,722509,722875,722934,721425,720846,719341,717591,714252,713657,712701,713194,715838,718585,719007,718606,716310,716176,717560,719481,721707,723160,726525,730884,734405,735488,736754,738019,743673,746759,748937,748974,752966,757128,760733,761640,765290,768657,774234,776823,783143,788232,792451,794325
62046,11,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,229969,231234,232334,234993,237712,240786,243426,245256,246377,247426,248934,250711,252788,255649,259320,262205,264115,265311,266949,268736,270532,272559,274744,277261,280271,282656,279349,275266,,273002,274307,280733,286996,293324,294613,295931,296977,304226,313945,324802,332276,331336,329068,320253,318598,318454,322126,326166,329923,333509,336099,336813,340539,342839,349868,354513,364961,372778,380999,386194,388298,390971,395909,403451,409971,415498,422402,429779,435021,441908,445640,451321,454751,459519,457651,460452,464731,479212,488625,498941,498354,499076,496566,496808,499192,499442,505307,504835,506019,503591,504103,507634,503784,501059,497708,497821,499576,500903,503911,502641,499204,496713,491409,487012,482527,477745,473710,468325,463903,456721,449063,442110,437295,433243,428441,424077,420903,419358,419372,419002,420841,424433,422454,420124,417481,420999,424874,425733,426162,424689,422846,419427,415936,412498,413895,414381,414373,410866,408509,408146,408807,409062,408441,406513,404212,401334,399253,397286,396564,394590,393508,392736,394983,397136,399798,400318,400772,400378,402109,403722,405305,405248,404844,405402,406359,405953,405757,406160,409061,411933,414552,416334,418338,419849,421348,420483,421019,421314,423778,423896,423210,420600,419890,422181,425481,427750,429078,430551,433234,434618,435637,437697,439971,441537,442379,444326,446323,447810,447826,448873,449784,451600,453657,457773,462747,467184,470728,472679,474972,477235,481080,484888,489469,497337,506537,514611,518932,523535,529237,533382,535688,536364,537716,539083,538670,541607,544126,548670,550542,554114,555696,559294,560515,562027,562917,562794,563086,561073,561787,563303,566208,568501,571466,576130,579237,584109,588959,594241,597842,598396,599598,600222,604086,607756,610361,613605,615624,619759,622926,629346,635413,638393,640180,641952,646290,651923,657405,663032,666596,671154,672681,673561
62019,14,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,211290,211845,212247,213421,215021,216798,218866,219659,220379,220376,220913,221339,222296,223381,224878,225796,227167,228351,229708,230530,232342,234345,237636,241152,244759,247304,245239,242927,240937,242270,243790,249900,255748,261181,261625,262307,263230,269678,278488,288235,294752,292021,289246,284027,288151,291059,294791,296724,300627,304218,308677,309323,314985,319009,328184,333005,342236,351366,360772,368072,371570,375214,380913,388519,395346,401202,408673,417217,423556,431034,433661,439196,441864,446469,445355,450456,456790,471282,478910,488011,486277,486604,484065,483447,485749,485036,491534,491529,494314,492866,493729,497277,493512,492376,493274,497251,502114,505140,509788,507473,503433,501424,501373,502210,497443,487222,474970,466221,459973,451703,441627,430147,417100,407217,400408,395766,389602,384523,386282,389059,392622,394643,389447,384474,378101,379700,379112,375710,372359,370508,366425,361759,357405,356489,356951,358017,359530,360654,357605,355774,351953,351544,349148,347865,345188,342891,341718,342301,343239,345618,348697,350373,352140,351760,354924,358846,362669,363050,360205,359400,361892,362350,362920,361058,364390,366636,370847,373304,377646,382569,388328,393428,395103,395947,394234,395895,397940,400574,401536,402075,400772,398976,397921,401065,405984,410564,414594,418323,424541,430364,435588,438740,439577,441891,445234,451999,456711,458840,458403,459789,462550,465874,468932,473995,481330,486675,490192,491601,496623,499201,506336,513032,521432,522087,518827,516080,514400,515998,516765,518169,518165,518816,525348,529452,534733,537546,542840,546874,550121,553204,556385,560567,565152,564587,561928,554842,553135,552636,556222,560478,565825,571719,578965,584549,589851,591984,594197,595517,598786,600317,607518,609141,614020,616249,621351,626442,626228,629931,631848,640183,646200,650200,650042,646966,644434,643260,648148,657563,666514,672753,677976,681664
61807,15,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,221105,223018,224331,227581,230521,233821,236038,238146,239942,241706,243863,245423,247462,247892,249315,250333,252273,253721,255630,256902,257746,257880,258231,261245,262952,265214,265428,267539,269912,272265,274741,276782,279047,281170,283658,285760,288293,290473,292542,294418,294872,,287078,292509,,311115,311734,313641,315981,320259,324909,331594,337566,342015,342296,343999,348113,355819,363518,368038,371688,375779,379710,384895,386793,391251,396709,402653,410064,416453,421392,427120,431959,438000,441463,444042,446044,448044,451456,456824,462633,466253,470947,475002,479421,480762,483489,487711,492909,496776,498029,498390,497111,496336,495725,494455,494377,492799,488249,481275,476346,475856,476297,475626,471215,466951,462065,457609,451898,444064,436190,428381,422208,415833,406559,398180,390635,389782,389867,391517,390211,390593,389384,385748,391912,395522,403647,399384,398107,393600,390139,383632,381784,383390,390487,388414,381423,375824,377714,378175,376000,371638,366481,364167,360787,361145,359406,360242,359676,357555,354435,353174,352978,352273,354317,358068,360032,355493,350433,349533,354178,358068,360070,359234,358612,361155,363351,364127,363656,364505,365288,364744,363970,363230,363079,364388,364402,363837,361506,362515,365797,368610,368999,372396,377555,386057,393249,395776,396252,393512,395046,396611,394094,390594,387773,390728,394232,398255,399613,400306,402965,405527,408973,409671,411856,415382,418138,419420,419208,420188,421863,424367,427504,428938,428612,428882,433869,437573,444758,448318,454235,455871,457161,462810,469107,473991,476839,478108,481798,485520,491643,497453,502102,503496,504135,502918,501395,503318,506039,512498,519703,526761,528267,527054,526501,530751,532327,532532,533966,537231,540993,541179,543694,548200,554119,556684,554778,553211,551646,554162,555171,559356,563116,567634,569902,572862,577419,583312,586776,589497,590849,593978
62037,16,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,266176,268767,270841,274450,277816,281085,284908,287153,288541,289226,290741,293207,296666,299441,303207,306806,311890,316089,320517,324014,327975,331997,335779,337421,339679,343905,349344,353397,355632,357534,359459,367839,376544,384360,386272,387944,389998,399219,411216,424339,433496,440854,445854,438366,430738,421738,420895,418043,417716,419065,420599,418577,419375,419994,429596,434941,445684,452816,463373,470004,473542,475585,481527,492793,502940,514001,529185,547424,564098,576041,583580,592122,599832,606215,601404,600212,603013,617993,626052,633689,628811,632109,633913,642984,652635,655187,663926,665341,670906,670397,671930,677542,675952,674631,675344,677135,682880,684352,687555,681284,672677,665891,659995,654990,652175,647660,646406,643319,638262,628725,618210,609213,600077,591259,582513,575219,570504,566701,564489,561338,561961,566498,561076,554895,550949,553178,554931,550566,549427,549037,549115,549352,549514,547499,552256,553332,554056,547809,542127,540740,541970,544111,545564,548208,552662,555760,558908,564875,571002,574123,573257,573578,572368,573682,574996,578994,584923,589309,591993,591451,593238,595409,597038,599828,606918,613681,617807,621341,623453,629748,632463,642215,651346,662769,672260,678714,686164,689072,693655,696956,703957,712101,718882,730424,740952,753863,761785,769371,779044,787965,798788,806976,812459,817356,825795,837361,843820,849154,852626,860345,863702,869346,875297,885687,892533,896307,899415,903241,905233,907114,912627,919976,929286,937924,947618,949424,952853,952069,953728,956029,962195,975087,986139,998377,1003523,1004349,1008785,1018489,1031577,1042668,1049478,1051152,1054603,1053084,1056912,1051098,1042957,1040085,1039593,1043970,1040817,1038917,1038274,1037909,1036926,1033915,1036251,1036994,1040251,1037468,1043449,1049776,1056747,1064210,1069254,1075296,1076727,1081800,1094651,1116057,1139927,1155111,1158067,1155643,1152956,1153338,1155095,1158017,1154288,1153501,1150400,1155958
62085,27,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,298642,300436,302291,305631,308562,311523,314670,318665,321712,325497,329613,333394,336332,338476,341885,345576,350447,355382,360277,363011,366380,369482,373972,377981,381822,388456,381719,375090,,,370816,374581,377777,379961,382233,384281,387110,389404,391494,393029,394472,405242,415647,426463,430003,433135,437323,439383,442394,442520,443529,445909,451170,458266,464171,469766,475547,481945,489381,495788,503788,512604,521574,530223,538520,542487,551791,561150,573222,582495,589747,601003,608005,616514,623437,629393,635831,637067,639340,644106,650239,645570,630753,618281,613608,615434,623057,625326,627159,619456,615702,614128,612717,617491,620749,625373,626664,624132,619397,613642,607802,601795,596396,590420,584714,579520,574969,569179,561579,553023,547610,543984,540312,536497,531696,529239,525961,523593,524596,527201,529763,528847,526130,526376,529098,535692,539479,542308,544655,547531,546747,542593,541372,542572,547768,549415,551090,549242,549810,551096,551521,549420,547435,547378,547866,546672,544097,541065,537788,536682,536095,534815,536724,540092,548762,553707,558051,560990,565143,570011,574968,582206,589185,593735,594579,597797,603252,609426,615252,621539,627764,634463,638574,641891,644181,647214,653515,656467,663334,668065,672396,672734,671654,672403,673577,679036,684069,689452,693904,696304,698503,698004,703583,711272,719386,725434,732255,739569,747234,754476,763342,771213,776685,780664,784609,789313,794728,799700,804281,809778,813666,819063,821023,822852,820553,819450,819832,822794,827107,833850,839054,847317,856906,866043,871149,871443,874604,878256,881605,884400,884531,882569,880588,878859,877178,874972,870950,869610,867331,870303,873980,879604,881346,882314,881026,881761,883756,883982,883186,880657,881353,884633,888978,893785,896378,896582,896851,895727,894793,890577,894117,898339,902458,900767,900077,901504,905522,910688,917519,922701,927547,934719
62044,30,11234,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,249764,252041,253807,257330,260184,263184,266176,268090,269525,270817,272879,274888,277093,279191,281436,283473,285949,288031,290000,291719,293789,295790,297956,299898,301273,303009,300069,297493,,295593,297152,304033,310808,317389,318687,320220,321562,329479,340008,351551,359672,372289,380296,385128,383734,386856,391472,395301,400031,404305,408339,409030,412248,414773,423513,428355,438894,446733,456169,463154,465071,467116,472045,480474,487673,492709,500985,510322,518683,527082,531483,537039,540246,543962,539601,539855,541554,552952,558412,565077,559897,557259,550978,549716,550310,549413,554965,554629,556286,552511,551532,553454,549180,545367,541682,540863,542656,544047,547536,545775,541044,536288,529805,525462,521434,516455,511299,506781,503374,498227,492703,487257,482861,477563,472274,466854,463596,461517,462949,463744,466896,471781,472370,472108,471713,474989,479633,480307,481654,480373,479990,477825,476215,473677,477228,480626,483899,480884,479014,478136,479625,479094,479029,479836,480203,479117,476236,474856,472786,470261,468156,466558,467377,468221,470048,470202,470387,471229,471910,471976,472468,473310,473778,474298,477379,480083,481699,483298,485936,490229,493343,497790,502385,506176,508892,510788,513604,515227,515660,515297,515287,515399,515684,518792,522502,526484,528818,530607,534874,538733,544175,547069,550357,551932,554199,556188,557723,558223,559317,561445,561995,562624,563714,568951,575251,579513,582128,583847,586720,589223,591430,595519,598867,605314,610600,618540,623231,627811,631218,633678,636813,639669,641530,642651,643284,646222,650570,655234,658251,659752,659634,660343,659954,659426,659144,656044,652138,647705,645679,645005,644156,644877,646496,650245,654106,658178,663267,667569,674012,676364,679785,678753,679481,681116,682941,685693,685759,688238,691056,698270,705494,711577,713731,715273,717705,722655,728979,735160,739346,743669,746690,749502
62031,31,11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,277659,277913,279223,281983,285957,290033,294075,296383,298147,299404,302740,305861,311204,315880,321360,326440,331499,336326,341158,347396,352786,355513,358652,361599,363469,368180,375675,385029,389326,391586,394296,403131,412231,421120,424197,426518,429251,440212,453581,467966,478324,486997,488960,483494,478726,479889,485504,489223,493709,496198,496475,492413,492015,493689,503102,506186,515992,521370,531020,538398,542740,546768,556411,571452,587109,596540,606623,620093,633640,646720,651303,655196,658422,662196,656275,653033,650942,663953,668381,675905,670688,673216,667512,664176,661390,658543,663138,660839,661202,657302,655709,658420,655381,653073,652352,652193,657479,660482,665783,662496,658332,655539,652367,649102,646155,646067,646656,650053,651742,650534,644109,633242,624034,615430,609364,603658,599805,594829,592419,591508,598279,607994,611389,611725,613229,619629,629178,632732,635267,633360,633148,630083,626129,620020,623967,627451,630423,625250,621016,618498,621698,626830,631641,633825,633795,633742,634521,639145,640864,641027,638251,637597,638515,640543,647978,654522,662980,669305,672210,672579,673812,680083,683697,689930,697994,709247,716491,723307,730028,740071,749498,759950,768537,774013,779790,787215,793622,798066,799678,803743,805477,807320,808113,815020,823260,832980,840654,849603,860786,872381,880983,891334,899893,907338,913430,919987,927949,930547,933042,934573,936881,935705,940632,947183,958883,967281,977448,988913,998852,1007938,1015307,1018996,1020772,1026408,1033537,1037944,1038381,1037238,1030734,1024272,1021748,1028610,1033003,1036361,1038566,1044173,1051755,1057197,1058602,1061426,1063599,1063028,1058582,1053477,1055780,1053819,1048957,1035813,1025591,1025146,1030082,1037150,1040311,1042520,1039119,1038588,1035093,1035911,1033690,1035862,1038965,1038048,1036119,1037000,1040341,1045078,1048459,1054378,1064665,1078167,1089258,1096127,1094503,1095643,1096727,1099279,1107235,1116247,1132567,1141327,1148750,1149279
62018,35,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,195626,196109,196762,198335,200096,202590,205223,206875,208040,207415,207519,207180,208428,210301,212211,213231,214192,215260,216959,218350,218667,219159,219915,222535,225483,225548,227085,228251,232129,233892,235707,241288,246974,252212,253154,253759,254569,261229,269573,278643,284728,289547,291786,290663,290184,291315,295864,301306,307519,312288,309989,305993,304049,306278,313385,316545,325138,334048,344070,351404,352878,356483,361331,368556,374360,381026,390422,400470,409805,420052,425916,432073,436967,443184,443625,447029,451508,462547,469566,478136,477854,477847,473297,471162,472011,471917,478725,478837,480383,477585,476836,478956,475369,472456,469154,466242,466453,467208,471150,469163,464640,461361,458974,457901,455841,451951,448622,445336,442969,439470,433587,427171,419647,414411,407006,400066,394222,389570,389073,389463,391393,391203,382988,379664,378373,383758,388038,389566,392094,390717,387962,383769,378084,375361,374420,375596,373485,371522,369583,369490,368258,367182,366231,363866,361900,360606,360268,359470,358035,355547,353576,350254,350302,350279,355248,359956,365498,364684,364718,362659,365409,365375,366281,362981,362461,363136,367802,372412,377087,382240,386014,388531,388675,388607,388965,393126,395596,398586,396974,396443,395204,393847,396136,398519,403222,404804,406054,409332,415847,422114,425181,425298,424606,425701,427798,431629,434250,436265,437914,440038,441985,443300,443525,445186,448522,452793,456479,459553,463446,465705,468939,471010,473682,476367,477802,477787,476753,477585,479101,479932,480283,480942,483436,485532,488475,492828,498337,503004,505117,507148,510167,515471,520155,520624,519735,517499,518794,515318,513713,512628,515386,519451,524029,529370,533587,537672,542430,544643,546890,547893,551139,552346,552650,553454,552708,555695,554989,559654,562096,569740,574500,577359,577903,578761,585054,591178,597409,600887,602695,605138,604459,606116
